ticker,gics_sector,industry
AAL,Industrials,Airlines
AAPL,Information Technology,Consumer Electronics
AAXN,Industrials,Aerospace & Defense
ABCB,Financials,Banks-Regional
ABMD,Health Care,Medical Devices
ACAD,Health Care,Biotechnology
ACIA,Information Technology,Communication Equipment
ADBE,Information Technology,Software—Infrastructure
ADI,Information Technology,Semiconductors
ADP,Information Technology,Staffing & Employment Services
ADSK,Information Technology,Software—Application
AGNC,Financials,REIT—Mortgage
AKAM,Information Technology,Software—Infrastructure
ALGN,Health Care,Medical Devices
ALRM,Information Technology,Software—Application
ALXN,Health Care,Biotechnology
AMAT,Information Technology,Semiconductor Equipment & Mate
AMBA,Information Technology,Semiconductor Equipment & Mate
AMD,Information Technology,Semiconductors
AMED,Health Care,Medical Care Facilities
AMGN,Health Care,Drug Manufacturers—General
AMZN,Consumer Discretionary,Internet Retail
ANDE,Consumer Staples,Food Distribution
ANSS,Information Technology,Software—Application
ARWR,Health Care,Biotechnology
ASML,Information Technology,Semiconductor Equipment & Mate
ATNX,Health Care,Drug Manufacturers—Specialty &
ATVI,Communication Services,Electronic Gaming & Multimedia
AVAV,Industrials,Aerospace & Defense
AVGO,Information Technology,Semiconductors
AVID,Information Technology,Electronic Gaming & Multimedia
AVT,Information Technology,Electronics & Computer Distrib
AXGN,Health Care,Medical Devices
AZPN,Information Technology,Software—Application
BBBY,Consumer Discretionary,Specialty Retail
BEAT,Health Care,Diagnostics & Research
BHF,Financials,Insurance—Life
BIDU,Communication Services,Internet Content & Information
BIIB,Health Care,Drug Manufacturers—General
BILI,Communication Services,Electronic Gaming & Multimedia
BKNG,Consumer Discretionary,Travel Services
BLDP,Industrials,Specialty Industrial Machinery
BLDR,Industrials,Building Products & Equipment
BLMN,Consumer Discretionary,Restaurants
BLUE,Health Care,Biotechnology
BMRN,Health Care,Biotechnology
BPMC,Health Care,Biotechnology
BPY,Financials,Real Estate Services
BRKR,Health Care,Medical Devices
BYND,Consumer Staples,Packaged Foods
BZUN,Consumer Discretionary,Internet Retail
CACC,Financials,Credit Services
CAMP,Information Technology,Communication Equipment
CAR,Industrials,Rental & Leasing Services
CARA,Health Care,Biotechnology
CASY,Consumer Staples,Grocery Stores
CBPO,Health Care,Biotechnology
CBRL,Consumer Discretionary,Restaurants
CDNS,Information technology,Software—Application
CDW,Information Technology,Information Technology Service
CERN,Health Care,Health Information Services
CEVA,Information Technology,Semiconductors
CHDN,Consumer Discretionary,Gambling
CHKP,Information Technology,Software—Infrastructure
CHRS,Health Care,Biotechnology
CHRW,Industrials,Integrated Freight & Logistics
CHTR,Communication Services,Entertainment
CINF,Financials,Insurance—Property & Casualty
CLLS,Health Care,Biotechnology
CLMT,Energy,Oil & Gas E&P
CMCSA,Communication Services,Entertainment
CME,Financials,Financial Data & Stock Exchang
CNMD,Health Care,Medical Devices
CODX,Health Care,Diagnostics & Research
COMM,Information Technology,Communication Equipment
CORE,Consumer Discretionary,Food Distribution
COST,Consumer Staples,Discount Stores
COUP,Information Technology,Software—Application
CPRT,Industrials,Specialty Business Services
CRBP,Health Care,Biotechnology
CREE,Information Technology,Semiconductors
CRON,Health Care,Drug Manufacturers—Specialty &
CROX,Consumer Discretionary,Footwear & Accessories
CRUS,Information Technology,Semiconductors
CRWD,Information Technology,Software—Infrastructure
CSCO,Information Technology,Communication Equipment
CSGP,Industrials,Real Estate Services
CSIQ,Energy,Solar
CSOD,Information Technology,Software—Application
CSX,Industrials,Railroads
CTAS,Industrials,Specialty Business Services
CTSH,Information Technology,Information Technology Service
CTXS,Information Technology,Software—Application
CYBR,Information Technology,Software—Infrastructure
CZR,Consumer Discretionary,Resorts & Casinos
DBX,Information Technology,Software—Infrastructure
DENN,Consumer Discretionary,Restaurants
DISCA,Communication Services,Entertainment
DISH,Communication Services,Entertainment
DKNG,Consumer Discretionary,Gambling
DLTR,Consumer Discretionary,Discount Stores
DNKN,Consumer Discretionary,Restaurants
DOCU,Information Technology,Software—Application
DXCM,Health Care,Diagnostics & Research
EA,Communication Services,Electronic Gaming & Multimedia
EBAY,Consumer Discretionary,Internet Retail
EDIT,Health Care,Biotechnology
EEFT,Information Technology,Software—Infrastructure
EHTH,Financials,Insurance Brokers
ENPH,Information Technology,Solar
EQIX,Real Estate,REIT—Specialty
ETSY,Consumer Discretionary,Internet Retail
EVBG,Information Technology,Software—Application
EXAS,Health Care,Diagnostics & Research
EXEL,Health Care,Biotechnology
EXPD,Industrials,Integrated Freight & Logistics
EXPE,Consumer Discretionary,Travel Services
FANG,Energy,Oil & Gas E&P
FAST,Industrials,Industrial Distribution
FB,Communication Services,Internet Content & Information
FEYE,Information Technology,Software—Infrastructure
FFIV,Information Technology,Software—Infrastructure
FISV,Information Technology,Information Technology Service
FITB,Financials,Banks-Regional
FIVE,Consumer Discretionary,Specialty Retail
FLEX,Information Technology,Electronic Components
FLIR,Information Technology,Scientific & Technical Instrum
FLWS,Consumer Discretionary,Specialty Retail
FOSL,Consumer Discretionary,Luxury Goods
FROG,Information Technology,Software - Application
FRPT,Consumer Staples,Packaged Foods
FSLR,Information Technology,Solar
FTNT,Information Technology,Software—Infrastructure
FWONA,Communication Services,Broadcasting
GH,Health Care,Diagnostics & Research
GILD,Health Care,Drug Manufacturers—General
GLPI,Real Estate,REIT—Specialty
GNTX,Consumer Discretionary,Auto Parts
GOOG,Communication Services,Internet Content & Information
GOSS,Health Care,Biotechnology
GPRO,Consumer Discretionary,Consumer Electronics
GRMN,Consumer Discretionary,Scientific & Technical Instrum
GSAT,Communication Services,Telecom Services
GT,Consumer Discretionary,Auto Parts
GWPH,Health Care,Drug Manufacturers—General
HAIN,Consumer Staples,Packaged Foods
HAS,Consumer Discretionary,Leisure
HBAN,Financials,Banks-Regional
HDS,Industrials,Industrial Distribution
HOLX,Health Care,Medical Instruments & Supplies
HQY,Health Care,Health Information Services
HSIC,Health Care,Medical Distribution
HTHT,Consumer Discretionary,Lodging
IAC,Communication Services,Internet Content & Information
IBKR,Financials,Capital Markets
ICPT,Health Care,Biotechnology
IDCC,Information Technology,Telecom Services
IDXX,Health Care,Diagnostics & Research
IEP,Financials,Conglomerates
IIVI,Information Technology,Scientific & Technical Instrum
ILMN,Health Care,Diagnostics & Research
INCY,Health Care,Biotechnology
INFO,Industrials,Consulting Services
INGN,Health Care,Medical Devices
INTC,Information Technology,Semiconductors
INTU,Information Technology,Software—Application
IONS,Health Care,Biotechnology
IPGP,Information Technology,Semiconductor Equipment & Mate
IRBT,Consumer Discretionary,Consumer Electronics
IRTC,Health Care,Medical Instruments & Supplies
ISBC,Financials,Banks-Regional
ISRG,Health Care,Medical Instruments & Supplies
JACK,Consumer Discretionary,Restaurants
JAZZ,Health Care,Biotechnology
JBHT,Industrials,Integrated Freight & Logistics
JBLU,Industrials,Airlines
JFU,Communication Services,Software—Application
JKHY,Information Technology,Information Technology Service
JOUT,Consumer Discretionary,Leisure
KHC,Consumer Staples,Packaged Foods
KLAC,Information Technology,Semiconductor Equipment & Mate
KTOS,Industrials,Aerospace & Defense
LAMR,Real Estate,REIT—Specialty
LBTYA,Communication Services,Entertainment
LBTYK,Communication Services,Entertainment
LILA,Communication Services,Telecom Services
LITE,Information Technology,Communication Equipment
LKQ,Consumer Discretionary,Auto Parts
LNG,Energy,Oil & Gas Midstream
LPSN,Information Technology,Software—Application
LRCX,Information Technology,Semiconductor Equipment & Mate
LSXMA,Communication Services,Broadcasting
LULU,Consumer Discretionary,Apparel Retail
LYFT,Industrials,Software—Application
MAR,Consumer Discretionary,Lodging
MASI,Health Care,Medical Instruments & Supplies
MAT,Consumer Discretionary,Leisure
MCHP,Information Technology,Semiconductors
MDB,Information Technology,Software—Infrastructure
MDLZ,Consumer Staples,Confectioners
MELI,Consumer Discretionary,Internet Retail
MIK,Consumer Discretionary,Specialty Retail
MKTX,Financials,Capital Markets
MMYT,Consumer Discretionary,Travel Services
MNST,Consumer Staples,Beverages—Non-Alcoholic
MOMO,Communication Services,Internet Content & Information
MRCY,Industrials,Aerospace & Defense
MRNA,Health Care,Biotechnology
MRTX,Health Care,Biotechnology
MRVL,Information Technology,Semiconductors
MSFT,Information Technology,Software—Infrastructure
MTCH,Communication Services,Internet Content & Information
MU,Information Technology,Semiconductors
MXIM,Information Technology,Semiconductors
MYL,Unknown,Other Industrial Metals & Mini
NATI,Information Technology,Software—Application
NAVI,Financials,Credit Services
NBIX,Health Care,Biotechnology
NET,Information Technology,Software—Infrastructure
NFLX,Communication Services,Entertainment
NIU,Consumer Discretionary,Auto Manufacturers
NKLA,Industrials,Auto Manufacturers
NLOK,Information Technology,Software—Infrastructure
